Date,Open,High,Low,Close,Adj Close,Volume
1991-05-14,0.218750,0.218750,0.211806,0.212674,0.163087,88790400
1991-05-15,0.204861,0.210069,0.192708,0.196181,0.150440,180158400
1991-05-16,0.197917,0.203125,0.196181,0.201389,0.154434,95299200
1991-05-17,0.196181,0.199653,0.194444,0.197917,0.151771,42566400
1991-05-20,0.197917,0.199653,0.194444,0.196181,0.150440,37252800
1991-05-21,0.199653,0.208333,0.197917,0.203125,0.155765,74764800
1991-05-22,0.204861,0.215278,0.204861,0.211806,0.162422,102585600
1991-05-23,0.213542,0.217014,0.213542,0.215278,0.165084,79286400
1991-05-24,0.217014,0.220486,0.213542,0.220486,0.169078,57254400
1991-05-28,0.220486,0.232639,0.218750,0.230903,0.177066,107985600
1991-05-29,0.230903,0.234375,0.220486,0.223958,0.171741,66945600
1991-05-30,0.227431,0.229167,0.220486,0.226563,0.173738,67046400
1991-05-31,0.229167,0.229167,0.220486,0.223958,0.171741,61300800
1991-06-03,0.223958,0.225694,0.218750,0.225694,0.173072,66988800
1991-06-04,0.223958,0.230903,0.222222,0.229167,0.175735,83433600
1991-06-05,0.230903,0.230903,0.225694,0.230903,0.177066,49564800
1991-06-06,0.230903,0.230903,0.225694,0.228299,0.175069,50371200
1991-06-07,0.223958,0.230903,0.223958,0.227431,0.174404,66542400
1991-06-10,0.229167,0.232639,0.227431,0.227431,0.174404,24580800
1991-06-11,0.229167,0.232639,0.227431,0.230903,0.177066,37094400
1991-06-12,0.230903,0.230903,0.222222,0.225694,0.173072,71712000
1991-06-13,0.225694,0.232639,0.223958,0.230903,0.177066,51091200
1991-06-14,0.230903,0.243056,0.229167,0.236111,0.181060,118598400
1991-06-17,0.236111,0.251736,0.236111,0.246528,0.189048,98409600
1991-06-18,0.248264,0.251736,0.241319,0.243056,0.186386,76348800
1991-06-19,0.244792,0.246528,0.229167,0.236111,0.181060,82152000
1991-06-20,0.232639,0.237847,0.229167,0.235243,0.180395,47808000
1991-06-21,0.239583,0.241319,0.229167,0.230903,0.177066,53395200
1991-06-24,0.229167,0.232639,0.215278,0.217014,0.166416,109872000
1991-06-25,0.218750,0.222222,0.210069,0.213542,0.163753,65980800
1991-06-26,0.211806,0.215278,0.203125,0.211806,0.162422,55238400
1991-06-27,0.215278,0.218750,0.211806,0.215278,0.165084,84326400
1991-06-28,0.217014,0.217014,0.204861,0.211806,0.162422,71208000
1991-07-01,0.217014,0.223958,0.213542,0.223958,0.171741,37252800
1991-07-02,0.222222,0.222222,0.217014,0.220486,0.169078,34804800
1991-07-03,0.218750,0.223958,0.218750,0.222222,0.170410,75700800
1991-07-05,0.222222,0.222222,0.217014,0.220486,0.169078,7934400
1991-07-08,0.218750,0.227431,0.213542,0.226563,0.173738,49723200
1991-07-09,0.232639,0.243056,0.229167,0.236979,0.181726,121953600
1991-07-10,0.239583,0.244792,0.229167,0.237847,0.182392,52171200
1991-07-11,0.239583,0.239583,0.234375,0.237847,0.182392,10713600
1991-07-12,0.239583,0.244792,0.236111,0.243056,0.186386,44582400
1991-07-15,0.244792,0.246528,0.241319,0.243056,0.186386,29433600
1991-07-16,0.244792,0.253472,0.243056,0.244792,0.187717,85881600
1991-07-17,0.244792,0.252604,0.243056,0.248264,0.190380,28814400
1991-07-18,0.248264,0.251736,0.248264,0.251736,0.193042,58363200
1991-07-19,0.250000,0.267361,0.250000,0.260417,0.199699,78278400
1991-07-22,0.262153,0.267361,0.256944,0.260417,0.199699,61977600
1991-07-23,0.260417,0.260417,0.253472,0.253472,0.194374,94219200
1991-07-24,0.255208,0.255208,0.244792,0.246528,0.189048,70732800
1991-07-25,0.248264,0.250000,0.244792,0.249132,0.191045,53928000
1991-07-26,0.250000,0.256076,0.248264,0.254340,0.195039,95630400
1991-07-29,0.253472,0.267361,0.253472,0.263889,0.202362,60364800
1991-07-30,0.267361,0.269097,0.263889,0.269097,0.206356,65635200
1991-07-31,0.269097,0.274306,0.258681,0.272569,0.209018,115977600
1991-08-01,0.272569,0.276042,0.267361,0.273438,0.209684,95097600
1991-08-02,0.277778,0.286458,0.274306,0.282986,0.217006,109699200
1991-08-05,0.282986,0.291667,0.281250,0.286458,0.219669,85132800
1991-08-06,0.289931,0.289931,0.279514,0.282986,0.217006,108590400
1991-08-07,0.286458,0.291667,0.274306,0.276042,0.211681,145123200
1991-08-08,0.277778,0.277778,0.267361,0.269965,0.207021,51177600
1991-08-09,0.269965,0.276042,0.267361,0.270833,0.207687,78105600
1991-08-12,0.270833,0.279514,0.269097,0.279514,0.214344,120124800
1991-08-13,0.282986,0.293403,0.281250,0.288194,0.221000,61689600
1991-08-14,0.293403,0.300347,0.291667,0.298611,0.228988,156326400
